"date","close","macd","stochfast","stochslow","stoch_volume","smi","rsi","dmi_dx","dmi_adx"
1997-06-24,1.510417,-2.60666826082483,5.55573333333328,32.4549223756446,0.809716599190283,-18.652210653935,35.7325354342549,33.5584842376545,32.6371318118508
1997-06-25,1.510417,-2.51790718827457,5.55573333333328,24.9288215647444,19.8549257759784,-21.3781411854636,35.7325354342549,33.5584842376545,32.7029426994082
1997-06-26,1.510417,-2.40231056058301,5.55573333333328,15.0285951347632,52.3797532107781,-24.2216992560362,35.7325354342549,33.5584842376545,32.7640528092829
1997-06-27,1.489583,-2.62446456377462,0,7.73991987726199,10.3752203475195,-26.9620306206588,34.4334286686057,36.8565035490587,33.0563707192669
1997-06-30,1.541667,-1.81929505546425,45.4548628080708,8.75436253423001,51.1662679425837,-27.8010711490715,40.2789690073335,16.8651293122813,31.8998534759108
1997-07-01,1.515625,-1.71635162126063,22.7274314040354,14.4782618911307,14.9222488038278,-28.676040154798,38.4339051977594,16.8651293122813,30.8259446070801
1997-07-02,1.588542,-0.38303523555554,100,31.9305760628462,79.4557416267943,-26.4722335990538,45.9056811750372,5.67586897943857,29.0295106336772
1997-07-03,1.911458,5.75950818367228,100,51.0102244253608,100,-15.5386557545452,65.7370428131015,35.5354775558514,29.4942225566896
1997-07-07,2,10.6499283211408,100,76.7677472906824,61.7453069507864,-1.99349457498157,69.0838502612642,43.226848255349,30.4751243923081
1997-07-08,2.302083,17.782757844598,100,91.4141590448928,100,14.4463509872565,77.2490534252356,59.0224895053924,32.5142219003856
1997-07-09,2.322917,21.6332755844697,100,99.9999999999999,50.865501828525,27.6891859288511,77.6867523070231,60.9715039808544,34.5468849061334
1997-07-10,2.5625,26.4505757010394,100,99.9999999999999,56.2129215765949,40.4639347648115,81.9801024309495,67.047759969627,36.8683759820972
1997-07-11,2.291667,24.7412774617488,74.7573204637451,97.1952578293049,66.2332385209264,44.5252166092653,66.4214454015702,50.2531036088986,37.8244279554402
1997-07-14,2.135417,20.9041088193849,60.1942181920875,89.9676510132864,26.0950832994718,42.8358439853176,59.4155030660135,38.9683444138752,37.9061362738998
1997-07-15,2.4375,21.9580785514618,88.349518182674,81.4455462175649,56.435809396198,45.6803308024978,66.723340837583,45.7890326157491,38.4692002983176
1997-07-16,2.333333,20.5659551855139,78.6407522669508,76.1596760151168,12.8129972364124,47.4183659333039,62.5413368242676,46.4791798110378,39.0413416920833
1997-07-17,2.21875,17.6732318751331,67.9611750023534,76.159665659133,13.8263127041286,46.8086900294669,58.2187451026851,29.8620066049259,38.3856749001435
1997-07-18,2.15625,14.6382705754458,61.1940298507463,74.4368768015267,0,44.5823150045086,55.9473077567533,29.8620066049259,37.7768414504851
1997-07-21,2.182292,12.7295717882646,63.681623880597,70.6204701450805,0,42.5476496143697,56.7052775225327,28.6529208108258,37.1251328333666
1997-07-22,2.135417,10.6311020316232,56.1497518373482,64.6286879358265,6.61741085769354,39.7506235718285,54.8750463125623,19.0998039195024,35.8376093395192
1997-07-23,2.291667,11.0398083375372,58.4000724991629,61.3437425021662,17.9649855444908,38.1071034397511,59.5605003190142,29.0313219117459,35.3514459518211
