row,date,type,price,shares,balance,lastAmountSpent,fee,profit
61,2015-11-03,buy,1.01,987.1287128712871,0.0,1000.0,3.0,0
934,2018-03-25,sell,524.29,0.0,515989.08,1000.0,1552.63,514989.08
