row,date,type,price,shares,balance,lastAmountSpent,fee,profit
61,2015-11-03,buy,1.01,495.049504950495,0.0,1000.0,500.0,0
934,2018-03-25,sell,524.29,0.0,258770.85,1000.0,778.65,257770.85
