"date","close","macd","stochfast","stochslow","stoch_volume","smi","rsi","dmi_dx","dmi_adx"
2014-06-18,2.79,22.5505875851834,79.8969072164948,93.6426116838488,35.7832130244988,-11.9900251736743,60.642866027702,45.1251901778694,31.0701837471495
2014-06-19,3.13,25.4570535444223,97.4226804123711,89.0607101947308,61.1158832778255,-5.33204344543495,63.8305298799095,52.1246227419458,32.5740722467778
2014-06-20,4.56,40.4415488585103,100,88.602520045819,100,5.75827018469755,73.5381219776534,62.3676039780362,34.7021816561534
2014-06-21,5.01,50.6137812842987,100,92.6116838487972,100,15.1952844360269,75.7443176541492,70.3990139713276,37.2519553929516
2014-06-22,4.35,48.5458423913895,81.0888252148997,95.0923436951263,65.3313870715611,19.5826393398576,66.9305093399217,66.7490491662786,39.3588906624749
2014-06-23,3.98,42.616242644937,69.6165191740413,92.1352055573569,54.6402855175005,20.187137226661,62.5371748178796,59.1028937034564,40.7691765939736
2014-06-24,3.28,32.0990119358595,48.9675516224189,81.274118401689,10.4498779037005,16.9881637486316,55.1602198726449,37.1581257369411,40.5112443898998
2014-06-25,3.39,25.7633751948269,50.4587155963303,68.8245585325657,20.8105315885042,13.4378079356814,56.0378214748204,29.3315634359412,39.7126957503314
2014-06-26,2.89,17.0283518132581,31.3915857605178,55.5037261537131,5.24434913280321,7.91036676089456,51.1384178099019,29.3315634359412,38.9711862993035
2014-06-27,2.2,5.14578514220543,-7.90194323576624e-15,42.4123267476562,21.9552084210944,-0.444390750814557,45.2578451393729,12.8158309968063,37.1029466348394
2014-06-28,2.55,0.676181560863109,12.4555160142349,28.5016951234298,11.1062102597396,-7.72962716354573,48.4933305043418,12.8158309968063,35.3681526606942
2014-06-29,2.54,-2.23336230033736,12.0996441281139,16.6947292526611,3.43131181474121,-14.1848412152036,48.4053012309834,12.8158309968063,33.7572725418451
2014-06-30,2.5,-4.38231024253933,10.6761565836299,11.5148420714534,1.129123116545,-20.0522260677231,48.0297234725834,12.8158309968063,32.261455288628
2014-07-01,2.35,-7.06679933689348,5.33807829181494,9.76670620798736,0,-25.8132908365479,46.5704609590275,10.2223746192718,30.6872352408169
2014-07-02,2.31,-9.00171288567454,3.91459074733095,9.25266903914592,0.409103063549477,-31.2652225985281,46.167637819526,8.08177212121771,29.0725593037026
2014-07-03,2.64,-6.79242568229813,15.6583629893238,8.10597073942271,11.2070221620176,-35.2048636700884,50.0094031018452,14.3513663167155,28.0210455189178
2014-07-04,2.64,-5.2594274453297,15.6583629893238,8.89679715302493,8.00833257276991,-37.8106150581402,50.0094031018452,18.2134258401229,27.3205012561468
2014-07-05,2.47,-5.83934413108292,12.5581395348837,11.5574682519978,0,-40.0644431233453,47.9643241997446,15.1080344809266,26.4481822007739
2014-07-06,2.4,-6.76016954098823,11.2359550561797,13.1731822022108,2.50509901967235,-41.654561293366,47.1100336274087,10.4222524655815,25.3034729339744
2014-07-07,1.99,-11.3267050959948,-1.58603289232165e-14,11.9023797427758,23.5259556990523,-43.4535910634775,42.3519586249405,0.441527395778506,23.5276196812462
2014-07-08,2.35,-10.3019843815068,25.7142857142857,11.1329769935463,14.5334343667293,-44.0648932459579,47.3776037368393,0.441527395778499,21.878613089427
2014-07-09,2.01,-12.9695524263622,2.22222222222218,9.85342703311522,0.565018284848285,-45.1271926344394,43.5188605444412,0.441527395778498,20.3473926827379
2014-07-10,1.89,-15.7075394510466,-2.96059473233375e-14,10.313695182609,11.2970711297071,-46.5721122229323,42.2120978326191,3.71455930240992,19.1593331555716
2014-07-11,1.79,-18.2734586707246,-2.61228946970625e-14,6.45502645502646,41.3422645884323,-48.1473186302278,41.1044256746533,8.12360503041407,18.3710668609175
2014-07-12,1.73,-20.2732236841372,-2.44005060357177e-14,3.35097001763668,0,-50.0151240282218,40.419100195472,7.36722102539413,17.5850778726658
2014-07-13,1.79,-20.492948860798,6.59340659340658,0.979514312847647,54.9395581492288,-50.8688704508101,41.4700242233894,15.6302039266921,17.445444019382
2014-07-14,1.97,-18.1202722314535,26.3736263736264,4.3956043956044,33.8406506587047,-50.564593630555,44.6256042756199,14.7820252008581,17.2551998180588
2014-07-15,2.11,-14.5936605051495,41.7582417582417,12.6984126984127,68.6623302344969,-49.2404573034134,47.0181918730194,5.99063492994147,16.4505880403362
2014-07-16,2.71,-5.17982041452426,100,30.6471306471307,100,-44.8053189344689,55.8271097542862,17.6278623398934,16.5346790617331
2014-07-17,2.98,3.5643155534173,100,53.8461538461539,100,-38.9910009404091,59.1208885573979,32.1301588664887,17.6486419049299
2014-07-18,2.62,4.86605536508633,71.2,75.6766788766789,64.5574241003493,-34.7494818241819,53.4030951114294,25.5387525345335,18.2122212356159
2014-07-19,2.88,8.24760239288049,92,86.2398046398046,23.7494552929554,-29.982597971974,56.6629787443074,25.5387525345335,18.7355448998243
2014-07-20,2.63,7.47509609977413,72,85.5111111111111,11.7446824044225,-26.4777520848161,52.83542270949,25.5387525345335,19.2214883023035
